server_id,hostname,category,location,os,os_version,server_age_years,is_eol,cpu_cores,ram_gb,primary_application,dr_status,monthly_cost_gbp,migration_target,last_patched,patch_compliant
SRV-100,PAR-MON-100,Monitoring,Equinix LD4,RHEL 7,RHEL7,2,False,8,64,Jenkins CI,Cold Standby,760,Replace → CloudWatch/Grafana,2024-03-15,False
SRV-101,PAR-MON-101,Monitoring,Equinix LD4,RHEL 7,Red Hat 7,6,True,16,128,Nagios Core,Cold Standby,1081,Replace → CloudWatch/Grafana,15/05/2024,True
SRV-102,PAR-MON-102,Monitoring,Canaray Wharf,RHEL 8,Red Hat Enterprise Linux 8,5,False,32,64,Puppet Master,Cold standby,672,Replace → CloudWatch/Grafana,15-01-2024,True
SRV-103,PAR-MON-103,Monitoring,Equinix LD4,RHEL 8,RHEL8,3,False,8,64,Splunk Forwarder,cold_standby,872,Replace → CloudWatch/Grafana,2024-05-15,True
SRV-104,PAR-MON-104,Monitoring,equinix LD4,RHEL 8,RHEL 8,6,False,64,128,Splunk Forwarder,Cold Standby,895,Replace → CloudWatch/Grafana,15/06/2024,True
SRV-105,PAR-MON-105,Monitoring,Equinix LD4,Ubuntu 20.04,ubuntu20,6,False,8,32,Patch Manager,Cold Standby,1152,Replace → CloudWatch/Grafana,15-04-2024,True
SRV-106,PAR-MON-106,Monitoring,Equinix LD4,RHEL 8,RHEL8,6,False,16,32,Splunk Forwarder,Cold standby,856,Replace → CloudWatch/Grafana,2024-08-15,True
SRV-107,PAR-MON-107,Monitoring,Equnix LD4,RHEL 8,RHEL 8,4,False,64,256,Jenkins CI,cold_standby,1190,Replace → CloudWatch/Grafana,15/09/2024,True
SRV-108,PAR-MON-108,Monitoring,Canary Wharf colo,RHEL 7,RHEL 7,6,True,8,256,Patch Manager,Cold Standby,1046,Replace → CloudWatch/Grafana,15-11-2024,True
SRV-109,PAR-DEV-109,Dev/Test,equinix LD4,Windows Server 2019,Win 2019,1,False,64,128,CI Runner,Cold Standby,582,Rehost → EC2 (short-term),2024-03-15,True
SRV-110,PAR-DEV-110,Dev/Test,Equinix LD4,Windows Server 2019,Windows Server 2019,1,False,32,128,Test Data Gen,Cold standby,732,Rehost → EC2 (short-term),15/01/2024,False
SRV-111,PAR-DEV-111,Dev/Test,Canary Wharf Colo,RHEL 8,Red Hat Enterprise Linux 8,1,False,64,32,Staging,cold_standby,836,Rehost → EC2 (short-term),15-11-2024,False
SRV-112,PAR-DEV-112,Dev/Test,Equnix LD4,Windows Server 2019,Win 2019,4,False,16,128,Dev Environment,Cold Standby,820,Rehost → EC2 (short-term),2024-01-15,True
SRV-113,PAR-DEV-113,Dev/Test,Equinix LD4,Ubuntu 20.04,Ubuntu 20.04,48 months,False,8,64,Test Env,Cold Standby,857,Rehost → EC2 (short-term),15/01/2024,True
SRV-114,PAR-DEV-114,Dev/Test,equinix LD4,Windows Server 2019,WS2019,1,False,16,32,Test Env,Cold standby,782,Rehost → EC2 (short-term),15-08-2024,True
SRV-115,PAR-DEV-115,Dev/Test,Canary Wharf Colo,Windows Server 2019,Win 2019,2,False,32,256,Dev DB,cold_standby,755,Rehost → EC2 (short-term),2024-10-15,True
SRV-116,PAR-DEV-116,Dev/Test,Canary Wharf colo,Ubuntu 20.04,Ubuntu 20.04,2,False,64,64,UAT,Cold Standby,,Rehost → EC2 (short-term),15/03/2024,True
SRV-117,PAR-DR/-117,DR/Standby,Equnix LD4,RHEL 7,RHEL 7,6,True,32,128,DR Market Data,Active-Passive,871,Decommission (DR via AWS),15-02-2024,True
SRV-118,PAR-DR/-118,DR/Standby,Canaray Wharf,Windows Server 2016,Win 2016,7,True,16,256,DR Market Data,Active/Passive,1393,Decommission (DR via AWS),2024-01-15,True
SRV-119,PAR-DR/-119,DR/Standby,equinix LD4,Windows Server 2016,WS2016,8,True,16,256,DR PEMIS,active-passive,1266,Decommission (DR via AWS),15/07/2024,True
SRV-120,PAR-DR/-120,DR/Standby,Canary Wharf colo,RHEL 7,RHEL 7,5,False,64,256,DR Market Data,Active-Passive,1125,Decommission (DR via AWS),15-06-2024,True
SRV-047,PAR-DB-047,Database,Equnix LD4,RHEL 8,RHEL 8,5,False,16,256,Market Data,active-passive,5484,Replatform → Aurora/RDS,01/03/2024,False
