app_id,application_name,business_line,criticality,dr_status,migration_strategy,server_count,dependencies,dependency_count,migration_complexity,annual_licence_cost_gbp,tech_stack,data_classification,business_owner,migration_wave,last_review_date,notes
APP-012,Compliance Monitoring,Compliance,P2 — High,Cold Standby,Replatform → EKS,2,APP-001;APP-004;APP-002,3,6,110000,Python 3.9 / PostgreSQL 10 / Elasticsearch,CONFIDENTIAL,James Liu,4,04-04-2024,Real-time trade surveillance. Elasticsearch cluster 3-node. Microservice candidate.
APP-013,HR System (Workday),Corporate,P3 — Medium,Vendor DR,Retain,0,APP-016,1,1,185000,Workday SaaS,CONFIDENTIAL,TBC,N/A (Retain),2024-04-06,SaaS — no migration. SSO integration with Azure AD. Zero on-prem footprint.
APP-014,Finance System (Oracle EBS),Finance,P2 — High,None,Rehost → EC2,5,"APP-003,APP-013",2,8/10,340000,Oracle EBS 12.2 / Oracle 12c,Confidential,Marcus Webb,2,10/04/2024,Oracle EBS. £340k/yr licence. Oracle 12c migration to Aurora will break EBS — must rehost first then plan EBS upgrade.
APP-015,Document Management (OpenText),All,P3 — Medium,Cold standby,Replace → SharePoint Online,2,APP-003;APP-004,2,Low-Medium,95000,OpenText Content Suite / SQL Server 2016,confidential,David Osei ,1,18-04-2024,OpenText licence £95k/yr. SharePoint Online replacement saves £80k/yr. Low complexity.
APP-016,Email (Exchange on-prem),Corporate,P3 — Medium,N/A,Replace → Microsoft 365,3,,0,2,0,Exchange Server 2016 / Windows Server 2016,Internal Use Only,David Osei,1,2024-04-30,Exchange 2016 EOL Jan 2025 — already past EOL. M365 migration must be Wave 1.
APP-017,Internal Intranet,Corporate,P4 — Low,No DR,Replace → SharePoint Online,1,,0,1,0,SharePoint 2016 / Windows Server 2016,INTERNAL,,1,07/05/2024,SharePoint 2016 EOL. Bundle with M365 migration. Low risk.
APP-018,Market Data Platform,All,P1 — Critical,Active/Passive,Replatform → EKS,4,APP-001;APP-002;APP-005;APP-008,4,8/10,95000,Python 3.7 / Redis / PostgreSQL 10 / Kafka,Restricted,Amara Diallo,4,09-05-2024,Real-time market data normalisation. Python 3.7 EOL. Redis + Kafka. 4 critical upstream deps.
APP-019,Performance Attribution,All,P2 — High,NO DR,Replatform → EKS,3,APP-001|APP-005|APP-003,3,Medium-High,78000,R / SQL Server 2016 / Shiny,confidential,Amara Diallo,4,2024-05-18,R-based analytics. Shiny dashboards. SQL Server migration needed. Monthly batch.
APP-020,Custody Reconciliation,Custody,P2 — High,Cold Standby,Replatform → EKS,3,"APP-006,APP-007,APP-001",3,6,55000,Java 11 / PostgreSQL 10 / IBM MQ,RESTRICTED,David Osei,4,23/05/2024,Daily reconciliation vs FundSettle. IBM MQ dependency. Microservice candidate.
APP-021,ETL Nightly Batch,All,P2 — High,Cold Standby,Replatform → Glue/Lambda,4,APP-001;APP-003;APP-005;APP-019,4,7,,Python 2.7 / SQL Server 2016 / SSIS,CONFIDENTIAL,Amara Diallo,3,06-06-2024,CRITICAL: Python 2.7 EOL Jan 2020 — 4 years overdue. SSIS pipelines. High refactor effort.
APP-022,Cost Allocation Engine,Finance,P3 — Medium,cold standby,Replatform → Glue/Lambda,2,APP-014|APP-021,2,5/10,0,Python 3.6 / SQL Server 2016,Confidential,Marcus Webb ,3,2024-06-11,Python 3.6 EOL Dec 2021. Monthly batch. Low business visibility but finance-critical.
APP-023,Client Report Generator,All,P2 — High,Cold standby,Replatform → Glue/Lambda,2,"APP-003,APP-019,APP-021",3,Medium-High,0,Python 3.8 / SQL Server 2016 / Jinja2,restricted,Rachel Thornton,3,12/06/2024,Generates PDF reports from templates. SSRS replacement candidate. Glue/Lambda target.
APP-024,Risk Batch Processor,Multi-Asset,P2 — High,Cold Standby,Replatform → EKS,2,APP-005;APP-018;APP-021,3,7,0,Python 3.8 / PostgreSQL 10,RESTRICTED,Rachel Thornton,4,28-06-2024,End-of-day risk batch. Runs 18:00–02:00. Long-running jobs — EKS Jobs target.
APP-025,Trade Settlement,Custody,P2 — High,Active-Passive,Replatform → EKS,2,APP-002|APP-006|APP-020,3,6,42000,Java 11 / PostgreSQL 10 / IBM MQ,RESTRICTED,David Osei,4,2024-06-27,T+1 settlement. IBM MQ. Microservice candidate with APP-020.
APP-026,Nagios Monitoring,IT Operations,P3 — Medium,cold standby,Replace → CloudWatch,2,,0,2/10,0,Nagios XI / RHEL 7,Internal,Ben Hartley,2,06/07/2024,Replace entirely with CloudWatch + Grafana in Phase 6. No migration needed.
APP-027,Splunk (on-prem),IT Operations,P3 — Medium,Cold standby,Replace → CloudWatch Logs Insights,4,,0,Low-Medium,185000,Splunk Enterprise / RHEL 7,confidential,Ben Hartley,2,20-07-2024,£185k/yr Splunk licence. Replace with CloudWatch Logs Insights + OpenSearch. Saves £150k/yr.
APP-028,Jenkins CI,IT Operations,P3 — Medium,None,Replace → GitHub Actions,2,,0,2,0,Jenkins / RHEL 7 / Java 11,Internal Use Only,Ben Hartley,2,2024-07-27,Replace with GitHub Actions in Phase 6. Jenkins config must be converted.
APP-029,Puppet Configuration Mgmt,IT Operations,P3 — Medium,None,Retire,1,,0,2,45000,Puppet Enterprise / RHEL 7,INTERNAL,Ben Hartley ,1,02/08/2024,Replace with AWS Systems Manager + Terraform. Retire after Phase 4 IaC platform live.
APP-030,Log Aggregator,IT Operations,P4 — Low,N/A,Replace → CloudWatch,1,,0,1/10,,Logstash / RHEL 7,Internal, TBC ,2,31-07-2024,Replace with CloudWatch agent. Low effort.
APP-031,Dev Environment,Development,P4 — Low,none,Rehost → EC2 (short-term),2,,0,Low,,Various / RHEL 8 + Windows 2019,internal,Rachel Thornton,1,2024-08-16,Shared dev environment. Migrate to AWS early — unblocks team. Quick win.
APP-032,Test Environment,Development,P4 — Low,None,Rehost → EC2 (short-term),1,,0,1,,Various / RHEL 8,Internal Use Only,Rachel Thornton,1,23/08/2024,Migrate with APP-031. Quick win.
APP-033,UAT Environment,Development,P4 — Low,None,Rehost → EC2 (short-term),1,,0,2,0,Various / Windows 2019,INTERNAL,Rachel Thornton,1,27-08-2024,UAT. Migrate with APP-031/032.
APP-034,Performance Test Env,Development,P4 — Low,N/A,Rehost → EC2 (short-term),1,,0,2/10,,JMeter / RHEL 8,Internal,Rachel Thornton,1,2024-08-28,Migrate to AWS — enables realistic load testing against cloud endpoints.
APP-035,Staging Environment,Development,P3 — Medium,none,Rehost → EC2 (short-term),1,,0,Low,0,Various / RHEL 8,internal,Rachel Thornton,1,07/09/2024,Pre-prod staging. Migrate early to support CI/CD pipeline.
APP-036,ESB / MQ Broker,Integration,P2 — High,Cold Standby,Replatform → EKS/Lambda,3,APP-001;APP-002;APP-006;APP-020;APP-025,5,8,"£120,000",IBM MQ 9.2 / RHEL 7,RESTRICTED,David Osei ,4,11-09-2024,Central integration bus. 5 dependencies. IBM MQ licence £120k/yr. Amazon MQ target. High complexity.
APP-037,Bloomberg ESB Adapter,Integration,P2 — High,Cold Standby,Replatform → Lambda,1,APP-008|APP-036,2,4,0,Java 8 / IBM MQ / Bloomberg B-PIPE,CONFIDENTIAL,Amara Diallo,3,2024-09-26,Bloomberg adapter. Migrate after APP-036 and APP-008 resolved. Java 8 EOL.
APP-038,Aladdin API Gateway,Integration,P3 — Medium,Vendor-managed,Retain,1,"APP-009,APP-001",2,2/10,0,REST / API Gateway pattern,Confidential,Rachel Thornton,N/A (Retain),27/09/2024,"Thin API wrapper. Retain SaaS, update integration to AWS API Gateway."
APP-039,FCA Data Submission Portal,Compliance,P2 — High,none,Rehost → EC2,1,APP-004;APP-012,2,Medium,0,.NET Framework 4.6 / SQL Server 2016,restricted,James Liu,2,06-10-2024,Manual FCA data submission UI. Used by compliance team daily. Must rehost before RRG refactor.
APP-040,Archive & Records System,Compliance,P3 — Medium,Cold Standby,Rehost → EC2 then S3 Glacier,2,APP-003|APP-004,2,3,28000,OpenText Archive / SQL Server 2016,RESTRICTED,James Liu,2,2024-10-15,7-year FCA record retention. Migrate to S3 Glacier for cost saving. Low risk.
APP-041,Internal Reporting (BI),Finance,P3 — Medium,Cold Standby,Replatform → Redshift + QuickSight,2,"APP-014,APP-019,APP-021",3,6,0,SQL Server Reporting Services / Excel,CONFIDENTIAL,Marcus Webb,5,18/10/2024,SSRS reports. Replace with Redshift + QuickSight in Phase 7. Finance sponsor = Marcus Webb.
APP-042,Patch Management (WSUS),IT Operations,P4 — Low,N/A,Retire,1,,0,1/10,0,WSUS / Windows Server 2016,Internal,Ben Hartley,1,31-10-2024,Replace with AWS Systems Manager Patch Manager. Retire once Phase 4 IaC live.
APP-019,Performance Attribution,All,P2 — High,NO DR,Replatform → EKS,3,APP-001|APP-005|APP-003,3,Medium-High,78000,R / SQL Server 2016 / Shiny,confidential,A. Diallo,4,2024-04-01,R-based analytics. Shiny dashboards. SQL Server migration needed. Monthly batch.
